elementType,editType,scriptLength,specialCharRatio,GSB,jsEval,class
6,2,-1,0.20408163265306123,-1,-1,benign
6,2,-1,0.20408163265306123,-1,-1,benign
6,2,-1,0.20408163265306123,-1,-1,benign
6,2,-1,0.20408163265306123,-1,-1,benign
6,2,-1,0.20408163265306123,-1,-1,benign
0,2,-1,0.24675324675324675,-1,-1,benign
0,2,-1,0.24675324675324675,-1,-1,benign
0,2,-1,0.24675324675324675,-1,-1,benign
0,2,-1,0.24675324675324675,-1,-1,benign
0,2,-1,0.24675324675324675,-1,-1,benign
0,2,-1,0.24675324675324675,-1,-1,benign
0,2,-1,0.24675324675324675,-1,-1,benign
0,2,-1,0.24675324675324675,-1,-1,benign
0,2,-1,0.24675324675324675,-1,-1,benign
0,2,-1,0.24675324675324675,-1,-1,benign
0,2,-1,0.24675324675324675,-1,-1,benign
0,2,-1,0.24675324675324675,-1,-1,benign
6,2,-1,0.25316455696202533,-1,-1,benign
6,2,-1,0.2222222222222222,-1,-1,benign
6,2,-1,0.2222222222222222,-1,-1,benign
6,2,-1,0.2222222222222222,-1,-1,benign
6,2,-1,0.2222222222222222,-1,-1,benign
6,2,-1,0.2222222222222222,-1,-1,benign
6,2,-1,0.2222222222222222,-1,-1,benign
6,2,-1,0.2222222222222222,-1,-1,benign
6,2,-1,0.25757575757575757,-1,-1,benign
6,2,-1,0.25757575757575757,-1,-1,benign
6,2,-1,0.22,-1,-1,benign
0,2,-1,0.3125,-1,-1,benign
0,2,-1,0.3125,-1,-1,benign
0,2,-1,0.3125,-1,-1,benign
0,4,-1,0.18181818181818182,-1,-1,benign
6,2,-1,0.25757575757575757,-1,-1,benign
6,2,-1,0.25757575757575757,-1,-1,benign
6,2,-1,0.1724137931034483,-1,-1,benign
6,2,-1,0.1724137931034483,-1,-1,benign
6,2,-1,0.1724137931034483,-1,-1,benign
6,2,-1,0.1724137931034483,-1,-1,benign
6,2,-1,0.1724137931034483,-1,-1,benign
6,2,-1,0.1724137931034483,-1,-1,benign
6,2,-1,0.1724137931034483,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
0,2,-1,0.234375,-1,-1,benign
0,2,-1,0.234375,-1,-1,benign
0,2,-1,0.234375,-1,-1,benign
0,2,-1,0.234375,-1,-1,benign
0,2,-1,0.234375,-1,-1,benign
0,2,-1,0.234375,-1,-1,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
